股票代码,stock_short,company_name,regno_or_creditcode,type,更新时间
838221,康泰电子,沈阳康泰电子科技股份有限公司,912101006753295177,辽宁,
838222,合筑设计,江苏合筑建筑设计股份有限公司,320211000104187 ,江苏,
838223,金维制药,宁夏金维制药股份有限公司,640121200005221 ,宁夏,
838224,集酷股份,北京集酷文化股份有限公司,91110105584450768M,北京,
838225,简品股份,杭州简品食品股份有限公司,91330101679888105K,浙江,
838226,同德股份,新疆同德能源股份有限公司,91652323599153408L,新疆,
838227,美登科技,杭州美登科技股份有限公司,913301060888642086,浙江,
838228,红连文化,浙江红连文化发展股份有限公司,91330300591767165K,浙江,
838229,联纵传媒,江苏联纵传媒股份有限公司,91320506726679892W,江苏,
838230,科码先锋,北京科码先锋互联网技术股份有限公司,91110114551388021T,北京,
838231,旺来科技,广东旺来新材料科技股份有限公司,91442000754510189Q,广东,
838232,加勒股份,镇江加勒智慧电力科技股份有限公司,91321191086983975M,江苏,
838233,爱诺药业,浙江爱诺药业股份有限公司,9133050075304602XG,浙江,
838234,亚华电子,山东亚华电子股份有限公司,91370300706025381Q,山东,
838235,伟思国瑞,福建伟思国瑞软件股份有限公司,91350100674030169U,福建,
838236,三峰股份,宁波三峰机械电子股份有限公司,91330212726425366B,浙江,
838237,大账房,北京大账房网络科技股份有限公司,91110108069585334T,北京,
838238,海格丽特,天津海格丽特装饰工程股份有限公司,91120112738469796Q,天津,
838240,九州信泰,山东九州信泰信息科技股份有限公司,91370100792638159F,山东,
838241,开信精工,昆山开信精工机械股份有限公司,913205835511955029,江苏,
838242,格临股份,杭州格临检测股份有限公司,91330100596621798R,浙江,
838243,天时恒生,北京天时恒生网络股份有限公司,91110106686923239T,北京,
838244,卓思数据,北京卓思天成数据咨询股份有限公司,9111010569956946XD,北京,
838245,中闽环保,厦门中闽全球环保股份有限公司,91350200693011852P,福建,
838246,山谷网安,河南山谷网安科技股份有限公司,91410105271736263T,河南,
838247,联洋人才,北京联洋人才科技股份有限公司,91110108660531149Q,北京,
838248,港华装饰,沈阳港华装饰股份有限公司,91210123001605175T,辽宁,
838249,邦德激光,济南邦德激光股份有限公司,9137010067728018XJ,山东,
838250,华工能源,湖北华工能源股份有限公司,420111000112720 ,湖北,
838251,千想传媒,浙江尊荣千想传媒股份有限公司,91330300717689466E,浙江,
838252,河南金泉,河南金泉新能源股份有限公司,91410200580319666H,河南,
838253,华晖能源,北京华晖盛世能源技术股份有限公司,9111010572356650XY,北京,
838254,老鹰教育,杭州老鹰教育科技股份有限公司,913301005687846100,浙江,
838255,英科集团,广东英科集团股份有限公司,91441900708010239W,广东,
838256,中谷联创,武汉中谷联创光电科技股份有限公司,91420100725767508N,湖北,
838257,真和丽,深圳市真和丽生态环境股份有限公司,914403007451763184,深圳,
838258,东义镁,天津东义镁制品股份有限公司,911200006714932489,天津,
838259,鑫海股份,湖南鑫海股份有限公司,91430981584905224T,湖南,
838260,海尔思,江西海尔思药业股份有限公司,360900210003535 ,江西,
838261,万华节能,万华节能科技集团股份有限公司,9137060066934880XK,山东,
838262,太湖雪,苏州太湖雪丝绸股份有限公司,9132050078836153X2,江苏,
838263,盈通黑金,佛山市盈通黑金碳材料股份有限公司,91440606752869593X,广东,
838264,天翔新材,杭州天翔新型建材股份有限公司,9133011069705151X0,浙江,
838265,瑞澜医美,长沙市瑞澜医疗美容医院股份有限公司,91430111053870421H,湖南,
838266,溢滔钱潮,广州溢滔钱潮减震科技股份有限公司,9144010158565202XB,广东,
838267,新世纪,北京新世纪检验认证股份有限公司,91110102101514705T,北京,
838268,东冠股份,苏州东冠包装股份有限公司,91320500555867783T,江苏,
838269,优合科技,安徽优合科技股份有限公司,913418225785270367,安徽,
838270,嘉憬母婴,广州嘉憬母婴科技股份有限公司,91440113681324085M,广东,
838271,镁锦优视,深圳镁锦优视股份有限公司,914403005685112841,深圳,
838272,雄狮装备,信阳雄狮装备科技股份有限公司,411502100003162 ,河南,
